STATION,NAME,DATE,TMAX
USW00024143,"GREAT FALLS AIRPORT, MT US",1990-03-01,57
USW00024143,"GREAT FALLS AIRPORT, MT US",1990-03-02,58
USW00024143,"GREAT FALLS AIRPORT, MT US",1990-03-03,60
USW00024143,"GREAT FALLS AIRPORT, MT US",1990-03-04,53
USW00024143,"GREAT FALLS AIRPORT, MT US",1990-03-05,37
USW00024143,"GREAT FALLS AIRPORT, MT US",1990-03-06,50
USW00024143,"GREAT FALLS AIRPORT, MT US",1990-03-07,59
USW00024143,"GREAT FALLS AIRPORT, MT US",1990-03-08,55
USW00024143,"GREAT FALLS AIRPORT, MT US",1990-03-09,47
USW00024143,"GREAT FALLS AIRPORT, MT US",1990-03-10,65
USW00024143,"GREAT FALLS AIRPORT, MT US",1990-03-11,43
USW00024143,"GREAT FALLS AIRPORT, MT US",1990-03-12,30
USW00024143,"GREAT FALLS AIRPORT, MT US",1990-03-13,31
USW00024143,"GREAT FALLS AIRPORT, MT US",1990-03-14,39
USW00024143,"GREAT FALLS AIRPORT, MT US",1990-03-15,40
USW00024143,"GREAT FALLS AIRPORT, MT US",1990-03-16,46
USW00024143,"GREAT FALLS AIRPORT, MT US",1990-03-17,39
USW00024143,"GREAT FALLS AIRPORT, MT US",1990-03-18,48
USW00024143,"GREAT FALLS AIRPORT, MT US",1990-03-19,62
USW00024143,"GREAT FALLS AIRPORT, MT US",1990-03-20,57
USW00024143,"GREAT FALLS AIRPORT, MT US",1990-03-21,44
USW00024143,"GREAT FALLS AIRPORT, MT US",1990-03-22,17
USW00024143,"GREAT FALLS AIRPORT, MT US",1990-03-23,17
USW00024143,"GREAT FALLS AIRPORT, MT US",1990-03-24,28
USW00024143,"GREAT FALLS AIRPORT, MT US",1990-03-25,44
USW00024143,"GREAT FALLS AIRPORT, MT US",1990-03-26,57
USW00024143,"GREAT FALLS AIRPORT, MT US",1990-03-27,49
USW00024143,"GREAT FALLS AIRPORT, MT US",1990-03-28,50
USW00024143,"GREAT FALLS AIRPORT, MT US",1990-03-29,59
USW00024143,"GREAT FALLS AIRPORT, MT US",1990-03-30,67
USW00024143,"GREAT FALLS AIRPORT, MT US",1990-03-31,62
USW00024143,"GREAT FALLS AIRPORT, MT US",1990-04-01,64
USW00024143,"GREAT FALLS AIRPORT, MT US",1990-04-02,75
USW00024143,"GREAT FALLS AIRPORT, MT US",1990-04-03,63
USW00024143,"GREAT FALLS AIRPORT, MT US",1990-04-04,49
USW00024143,"GREAT FALLS AIRPORT, MT US",1990-04-05,46
USW00024143,"GREAT FALLS AIRPORT, MT US",1990-04-06,60
USW00024143,"GREAT FALLS AIRPORT, MT US",1990-04-07,62
USW00024143,"GREAT FALLS AIRPORT, MT US",1990-04-08,45
USW00024143,"GREAT FALLS AIRPORT, MT US",1990-04-09,33
USW00024143,"GREAT FALLS AIRPORT, MT US",1990-04-10,31
USW00024143,"GREAT FALLS AIRPORT, MT US",1990-04-11,48
USW00024143,"GREAT FALLS AIRPORT, MT US",1990-04-12,57
USW00024143,"GREAT FALLS AIRPORT, MT US",1990-04-13,59
USW00024143,"GREAT FALLS AIRPORT, MT US",1990-04-14,59
USW00024143,"GREAT FALLS AIRPORT, MT US",1990-04-15,64
USW00024143,"GREAT FALLS AIRPORT, MT US",1990-04-16,43
USW00024143,"GREAT FALLS AIRPORT, MT US",1990-04-17,64
USW00024143,"GREAT FALLS AIRPORT, MT US",1990-04-18,69
USW00024143,"GREAT FALLS AIRPORT, MT US",1990-04-19,71
USW00024143,"GREAT FALLS AIRPORT, MT US",1990-04-20,79
USW00024143,"GREAT FALLS AIRPORT, MT US",1990-04-21,75
USW00024143,"GREAT FALLS AIRPORT, MT US",1990-04-22,69
USW00024143,"GREAT FALLS AIRPORT, MT US",1990-04-23,66
USW00024143,"GREAT FALLS AIRPORT, MT US",1990-04-24,62
USW00024143,"GREAT FALLS AIRPORT, MT US",1990-04-25,59
USW00024143,"GREAT FALLS AIRPORT, MT US",1990-04-26,51
USW00024143,"GREAT FALLS AIRPORT, MT US",1990-04-27,51
USW00024143,"GREAT FALLS AIRPORT, MT US",1990-04-28,40
USW00024143,"GREAT FALLS AIRPORT, MT US",1990-04-29,34
USW00024143,"GREAT FALLS AIRPORT, MT US",1990-04-30,48
USW00024143,"GREAT FALLS AIRPORT, MT US",1990-05-01,60
USW00024143,"GREAT FALLS AIRPORT, MT US",1990-05-02,57
USW00024143,"GREAT FALLS AIRPORT, MT US",1990-05-03,66
USW00024143,"GREAT FALLS AIRPORT, MT US",1990-05-04,68
USW00024143,"GREAT FALLS AIRPORT, MT US",1990-05-05,78
USW00024143,"GREAT FALLS AIRPORT, MT US",1990-05-06,77
USW00024143,"GREAT FALLS AIRPORT, MT US",1990-05-07,53
USW00024143,"GREAT FALLS AIRPORT, MT US",1990-05-08,39
USW00024143,"GREAT FALLS AIRPORT, MT US",1990-05-09,58
USW00024143,"GREAT FALLS AIRPORT, MT US",1990-05-10,61
USW00024143,"GREAT FALLS AIRPORT, MT US",1990-05-11,57
USW00024143,"GREAT FALLS AIRPORT, MT US",1990-05-12,56
USW00024143,"GREAT FALLS AIRPORT, MT US",1990-05-13,56
USW00024143,"GREAT FALLS AIRPORT, MT US",1990-05-14,54
USW00024143,"GREAT FALLS AIRPORT, MT US",1990-05-15,53
USW00024143,"GREAT FALLS AIRPORT, MT US",1990-05-16,56
USW00024143,"GREAT FALLS AIRPORT, MT US",1990-05-17,64
USW00024143,"GREAT FALLS AIRPORT, MT US",1990-05-18,63
USW00024143,"GREAT FALLS AIRPORT, MT US",1990-05-19,62
USW00024143,"GREAT FALLS AIRPORT, MT US",1990-05-20,64
USW00024143,"GREAT FALLS AIRPORT, MT US",1990-05-21,65
USW00024143,"GREAT FALLS AIRPORT, MT US",1990-05-22,68
USW00024143,"GREAT FALLS AIRPORT, MT US",1990-05-23,73
USW00024143,"GREAT FALLS AIRPORT, MT US",1990-05-24,63
USW00024143,"GREAT FALLS AIRPORT, MT US",1990-05-25,48
USW00024143,"GREAT FALLS AIRPORT, MT US",1990-05-26,61
USW00024143,"GREAT FALLS AIRPORT, MT US",1990-05-27,65
USW00024143,"GREAT FALLS AIRPORT, MT US",1990-05-28,67
USW00024143,"GREAT FALLS AIRPORT, MT US",1990-05-29,68
USW00024143,"GREAT FALLS AIRPORT, MT US",1990-05-30,70
USW00024143,"GREAT FALLS AIRPORT, MT US",1990-05-31,69
USW00024143,"GREAT FALLS AIRPORT, MT US",1990-06-01,58
USW00024143,"GREAT FALLS AIRPORT, MT US",1990-06-02,52
USW00024143,"GREAT FALLS AIRPORT, MT US",1990-06-03,67
USW00024143,"GREAT FALLS AIRPORT, MT US",1990-06-04,61
USW00024143,"GREAT FALLS AIRPORT, MT US",1990-06-05,65
USW00024143,"GREAT FALLS AIRPORT, MT US",1990-06-06,72
USW00024143,"GREAT FALLS AIRPORT, MT US",1990-06-07,66
USW00024143,"GREAT FALLS AIRPORT, MT US",1990-06-08,68
USW00024143,"GREAT FALLS AIRPORT, MT US",1990-06-09,81
USW00024143,"GREAT FALLS AIRPORT, MT US",1990-06-10,77
USW00024143,"GREAT FALLS AIRPORT, MT US",1990-06-11,62
USW00024143,"GREAT FALLS AIRPORT, MT US",1990-06-12,58
USW00024143,"GREAT FALLS AIRPORT, MT US",1990-06-13,54
USW00024143,"GREAT FALLS AIRPORT, MT US",1990-06-14,53
USW00024143,"GREAT FALLS AIRPORT, MT US",1990-06-15,63
USW00024143,"GREAT FALLS AIRPORT, MT US",1990-06-16,71
USW00024143,"GREAT FALLS AIRPORT, MT US",1990-06-17,75
USW00024143,"GREAT FALLS AIRPORT, MT US",1990-06-18,77
USW00024143,"GREAT FALLS AIRPORT, MT US",1990-06-19,69
USW00024143,"GREAT FALLS AIRPORT, MT US",1990-06-20,73
USW00024143,"GREAT FALLS AIRPORT, MT US",1990-06-21,73
USW00024143,"GREAT FALLS AIRPORT, MT US",1990-06-22,83
USW00024143,"GREAT FALLS AIRPORT, MT US",1990-06-23,89
USW00024143,"GREAT FALLS AIRPORT, MT US",1990-06-24,91
USW00024143,"GREAT FALLS AIRPORT, MT US",1990-06-25,87
USW00024143,"GREAT FALLS AIRPORT, MT US",1990-06-26,94
USW00024143,"GREAT FALLS AIRPORT, MT US",1990-06-27,83
USW00024143,"GREAT FALLS AIRPORT, MT US",1990-06-28,78
USW00024143,"GREAT FALLS AIRPORT, MT US",1990-06-29,87
USW00024143,"GREAT FALLS AIRPORT, MT US",1990-06-30,101
USW00024143,"GREAT FALLS AIRPORT, MT US",1990-07-01,99
USW00024143,"GREAT FALLS AIRPORT, MT US",1990-07-02,86
USW00024143,"GREAT FALLS AIRPORT, MT US",1990-07-03,73
USW00024143,"GREAT FALLS AIRPORT, MT US",1990-07-04,67
USW00024143,"GREAT FALLS AIRPORT, MT US",1990-07-05,82
USW00024143,"GREAT FALLS AIRPORT, MT US",1990-07-06,82
USW00024143,"GREAT FALLS AIRPORT, MT US",1990-07-07,75
USW00024143,"GREAT FALLS AIRPORT, MT US",1990-07-08,81
USW00024143,"GREAT FALLS AIRPORT, MT US",1990-07-09,88
USW00024143,"GREAT FALLS AIRPORT, MT US",1990-07-10,89
USW00024143,"GREAT FALLS AIRPORT, MT US",1990-07-11,87
USW00024143,"GREAT FALLS AIRPORT, MT US",1990-07-12,96
USW00024143,"GREAT FALLS AIRPORT, MT US",1990-07-13,89
USW00024143,"GREAT FALLS AIRPORT, MT US",1990-07-14,78
USW00024143,"GREAT FALLS AIRPORT, MT US",1990-07-15,87
USW00024143,"GREAT FALLS AIRPORT, MT US",1990-07-16,94
USW00024143,"GREAT FALLS AIRPORT, MT US",1990-07-17,89
USW00024143,"GREAT FALLS AIRPORT, MT US",1990-07-18,82
USW00024143,"GREAT FALLS AIRPORT, MT US",1990-07-19,73
USW00024143,"GREAT FALLS AIRPORT, MT US",1990-07-20,66
USW00024143,"GREAT FALLS AIRPORT, MT US",1990-07-21,74
USW00024143,"GREAT FALLS AIRPORT, MT US",1990-07-22,82
USW00024143,"GREAT FALLS AIRPORT, MT US",1990-07-23,88
USW00024143,"GREAT FALLS AIRPORT, MT US",1990-07-24,81
USW00024143,"GREAT FALLS AIRPORT, MT US",1990-07-25,79
USW00024143,"GREAT FALLS AIRPORT, MT US",1990-07-26,74
USW00024143,"GREAT FALLS AIRPORT, MT US",1990-07-27,79
USW00024143,"GREAT FALLS AIRPORT, MT US",1990-07-28,78
USW00024143,"GREAT FALLS AIRPORT, MT US",1990-07-29,82
USW00024143,"GREAT FALLS AIRPORT, MT US",1990-07-30,89
USW00024143,"GREAT FALLS AIRPORT, MT US",1990-07-31,86
USW00024143,"GREAT FALLS AIRPORT, MT US",1990-08-01,86
USW00024143,"GREAT FALLS AIRPORT, MT US",1990-08-02,85
USW00024143,"GREAT FALLS AIRPORT, MT US",1990-08-03,84
USW00024143,"GREAT FALLS AIRPORT, MT US",1990-08-04,87
USW00024143,"GREAT FALLS AIRPORT, MT US",1990-08-05,94
USW00024143,"GREAT FALLS AIRPORT, MT US",1990-08-06,102
USW00024143,"GREAT FALLS AIRPORT, MT US",1990-08-07,98
USW00024143,"GREAT FALLS AIRPORT, MT US",1990-08-08,91
USW00024143,"GREAT FALLS AIRPORT, MT US",1990-08-09,85
USW00024143,"GREAT FALLS AIRPORT, MT US",1990-08-10,85
USW00024143,"GREAT FALLS AIRPORT, MT US",1990-08-11,86
USW00024143,"GREAT FALLS AIRPORT, MT US",1990-08-12,88
USW00024143,"GREAT FALLS AIRPORT, MT US",1990-08-13,93
USW00024143,"GREAT FALLS AIRPORT, MT US",1990-08-14,96
USW00024143,"GREAT FALLS AIRPORT, MT US",1990-08-15,101
USW00024143,"GREAT FALLS AIRPORT, MT US",1990-08-16,90
USW00024143,"GREAT FALLS AIRPORT, MT US",1990-08-17,81
USW00024143,"GREAT FALLS AIRPORT, MT US",1990-08-18,80
USW00024143,"GREAT FALLS AIRPORT, MT US",1990-08-19,71
USW00024143,"GREAT FALLS AIRPORT, MT US",1990-08-20,74
USW00024143,"GREAT FALLS AIRPORT, MT US",1990-08-21,81
USW00024143,"GREAT FALLS AIRPORT, MT US",1990-08-22,76
USW00024143,"GREAT FALLS AIRPORT, MT US",1990-08-23,77
USW00024143,"GREAT FALLS AIRPORT, MT US",1990-08-24,63
USW00024143,"GREAT FALLS AIRPORT, MT US",1990-08-25,60
USW00024143,"GREAT FALLS AIRPORT, MT US",1990-08-26,66
USW00024143,"GREAT FALLS AIRPORT, MT US",1990-08-27,78
USW00024143,"GREAT FALLS AIRPORT, MT US",1990-08-28,81
USW00024143,"GREAT FALLS AIRPORT, MT US",1990-08-29,85
USW00024143,"GREAT FALLS AIRPORT, MT US",1990-08-30,76
USW00024143,"GREAT FALLS AIRPORT, MT US",1990-08-31,74
USW00024143,"GREAT FALLS AIRPORT, MT US",1990-09-01,82
USW00024143,"GREAT FALLS AIRPORT, MT US",1990-09-02,87
USW00024143,"GREAT FALLS AIRPORT, MT US",1990-09-03,77
USW00024143,"GREAT FALLS AIRPORT, MT US",1990-09-04,86
USW00024143,"GREAT FALLS AIRPORT, MT US",1990-09-05,88
USW00024143,"GREAT FALLS AIRPORT, MT US",1990-09-06,87
USW00024143,"GREAT FALLS AIRPORT, MT US",1990-09-07,88
USW00024143,"GREAT FALLS AIRPORT, MT US",1990-09-08,84
USW00024143,"GREAT FALLS AIRPORT, MT US",1990-09-09,82
USW00024143,"GREAT FALLS AIRPORT, MT US",1990-09-10,85
USW00024143,"GREAT FALLS AIRPORT, MT US",1990-09-11,88
USW00024143,"GREAT FALLS AIRPORT, MT US",1990-09-12,88
USW00024143,"GREAT FALLS AIRPORT, MT US",1990-09-13,70
USW00024143,"GREAT FALLS AIRPORT, MT US",1990-09-14,82
USW00024143,"GREAT FALLS AIRPORT, MT US",1990-09-15,85
USW00024143,"GREAT FALLS AIRPORT, MT US",1990-09-16,77
USW00024143,"GREAT FALLS AIRPORT, MT US",1990-09-17,71
USW00024143,"GREAT FALLS AIRPORT, MT US",1990-09-18,76
USW00024143,"GREAT FALLS AIRPORT, MT US",1990-09-19,75
USW00024143,"GREAT FALLS AIRPORT, MT US",1990-09-20,65
USW00024143,"GREAT FALLS AIRPORT, MT US",1990-09-21,71
USW00024143,"GREAT FALLS AIRPORT, MT US",1990-09-22,76
USW00024143,"GREAT FALLS AIRPORT, MT US",1990-09-23,88
USW00024143,"GREAT FALLS AIRPORT, MT US",1990-09-24,86
USW00024143,"GREAT FALLS AIRPORT, MT US",1990-09-25,88
USW00024143,"GREAT FALLS AIRPORT, MT US",1990-09-26,67
USW00024143,"GREAT FALLS AIRPORT, MT US",1990-09-27,69
USW00024143,"GREAT FALLS AIRPORT, MT US",1990-09-28,62
USW00024143,"GREAT FALLS AIRPORT, MT US",1990-09-29,79
USW00024143,"GREAT FALLS AIRPORT, MT US",1990-09-30,74
USW00024143,"GREAT FALLS AIRPORT, MT US",1990-10-01,83
USW00024143,"GREAT FALLS AIRPORT, MT US",1990-10-02,56
USW00024143,"GREAT FALLS AIRPORT, MT US",1990-10-03,54
USW00024143,"GREAT FALLS AIRPORT, MT US",1990-10-04,77
USW00024143,"GREAT FALLS AIRPORT, MT US",1990-10-05,63
USW00024143,"GREAT FALLS AIRPORT, MT US",1990-10-06,43
